price	beds	baths	address	link	about_this_home	key_details	feature_score	age_of_house	lot_size	price_per_sqft	heuristic_rank	normalized_rank
$599,990	4 beds	3.5 baths	10414 Lucaya Dr, Tampa, FL 33647	https://www.redfin.com/FL/Tampa/10414-Lucaya-Dr-33647/home/47377241	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$540,000	4 beds	2 baths	1903 E Diana St, Tampa, FL 33610	https://www.redfin.com/FL/Tampa/1903-E-Diana-St-33610/home/47312007	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$450,000	3 beds	2 baths	3915 W Paxton Ave, Tampa, FL 33611	https://www.redfin.com/FL/Tampa/3915-W-Paxton-Ave-33611/home/47293680	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$129,000	1 bed	1 bath	7200 E Bank Dr, Tampa, FL 33617	https://www.redfin.com/FL/Tampa/7200-E-Bank-Dr-33617/home/47310526	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$540,000	3 beds	2.5 baths	9312 Memorial Hwy, Tampa, FL 33615	https://www.redfin.com/FL/Tampa/9312-Memorial-Hwy-33615/home/47090652	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$450,000	3 beds	2 baths	214 W 109th Ave, Tampa, FL 33612	https://www.redfin.com/FL/Tampa/214-W-109th-Ave-33612/home/47259636	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$425,000	5 beds	2 baths	1314 W Rambla St, Tampa, FL 33612	https://www.redfin.com/FL/Tampa/1314-W-Rambla-St-33612/home/47261077	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$640,000	3 beds	2 baths	8201 Sunny Vale Pl, Tampa, FL 33615	https://www.redfin.com/FL/Tampa/8201-Sunny-Vale-Pl-33615/home/47085303	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$299,900	3 beds	2 baths	6229 Oak Cluster Cir, Tampa, FL 33634	https://www.redfin.com/FL/Tampa/6229-Oak-Cluster-Cir-33634/home/47136875	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
$525,000	4 beds	2 baths	9044 Westbay Blvd, Tampa, FL 33615	https://www.redfin.com/FL/Tampa/9044-Westbay-Blvd-33615/home/47090412	Discover this stunning, Golf Course View, 4-bedroom, 3.5-bathroom POOL home nestled in the sought-after Heritage Isles community of New Tampa. This private pool home boasts a thoughtfully designed open floor plan, seamlessly connecting the formal living and dining areas, a modern kitchen, a cozy family room, a convenient half bath, a laundry room, and a spacious two-car garage. From the moment you enter, you’ll be captivated by the well decorated grand foyer with beautiful touches and elegant porcelain terrazo style tile flooring throughout the first level. The formal living room is prewired for a projector and surround sound, making it perfect for entertaining. The gourmet kitchen opens to the family room and features granite countertops, rich wood cabinetry, a stylish tile backsplash, and an island centerpiece. A glass door leads to the screened lanai, where you’ll find a sparkling pool with a spa overlooking the golf course—ideal for relaxation or hosting guests. Upstairs, the second floor offers a luxurious primary suite with an adjoining smaller room that can be used as an office, den, or additional bedroom. The master bath is a retreat, featuring a garden tub, dual vanities, a walk-in shower, and his-and-hers walk-in closets. The upper level also includes three additional bedrooms and three full bathrooms, providing ample space for family or guests. Tucked away in a quiet loop, this home features recent updates, including a new roof (2019), AC (2019), and water heater (2018). The Heritage Isles community offers an array of amenities, including a golf course, tennis and basketball courts, a fitness center, a resort-style pool, a restaurant, playgrounds, and a clubhouse. Conveniently located with easy access to I-75, shopping, and dining, this home is a rare gem. Don’t miss the chance to make it yours!	: 2 dayson Redfin; : Single-family; : Built in 2002; : 5,750 sq ft lot; : $210 per sq ft; : $6 monthly HOA fee; : 2 garage spaces; : Has A/C; : 2%buyer's agent fee; : HERITAGE ISLES PH 3D	13	23	5750.0	210.0		
